,0
0,West Virginia
1,New Hampshire
2,Kansas
3,Virginia
4,North Dakota
5,Idaho
6,Rhode Island
7,Arkansas
8,Connecticut
9,Hawaii
10,Indiana
11,Wyoming
12,Utah
13,Delaware
14,Montana
15,Nebraska
16,New Mexico
17,Michigan
18,Pennsylvania
19,Missouri
20,Iowa
21,Louisiana
22,South Dakota
23,California
24,Maine
25,Oklahoma
26,South Carolina
27,Vermont
28,North Carolina
29,Massachusetts
30,Oregon
31,Nevada
32,Maryland
33,Arizona
34,Kentucky
35,Illinois
36,Wisconsin
37,Alaska
38,Colorado
39,Tennessee
40,Minnesota
41,Mississippi
42,Washington
43,New Jersey
44,Georgia
